#meta n_feat=69 n_class=5 win=150 hop=25 replay_n=75564 hops=400
#calib_windows 74
#calib_valid 69
CMEAN,0.456953257,42.0808334,35.4084663,66.1715088,0.396605551,335.878204,59.4908295,130.721161,0.871223569,-0.344807118,0.214627802,-0.194281518,116.046829,75.6038208,61.7309189,50773.9219,0.534649253,0.185937524,0.141952708,0.103299573,0.823883832,55.7997322,20.8514385,49.1830254,0.760144174,691.070496,114.021629,121.619881,1.03070927,-0.219495341,0.158372223,-0.326882929,77.3792496,54.0134697,60.107502,103928.648,0.746231318,0.17153573,0.050099954,0.0131664388,0.364484161,40.5497894,46.9018707,72.3777542,0.308764845,220.233353,46.314743,134.325821,0.653409541,-0.338702768,0.170710877,-0.172213718,155.383209,135.777405,71.1693573,33626.6914,0.311218768,0.26401785,0.197384953,0.195149988,0.459527522,-0.606684983,0.180205792,0.220158517,0.253118187,0.0414066538,-0.0172438323,0.859803498,0.000872988254
CSTD,0.114446752,9.33492088,6.20257711,9.87360859,0.1037734,257.983276,15.5660086,5.60817003,0.146460742,0.257864505,0.109178528,0.143077925,13.5709248,18.7089577,18.4799442,38650.8594,0.160324663,0.107618339,0.0732349232,0.0227900203,0.100613616,7.83440351,7.73178864,13.3451633,0.099281691,364.998596,14.8922539,8.97680092,0.17409189,0.203156218,0.107936949,0.0982106924,20.6610813,20.6231594,18.3076744,55834.9648,0.154331714,0.120439917,0.0445174314,0.0464138202,0.0836203918,6.96950531,6.84312105,12.5206499,0.0758149773,189.328827,11.3722477,5.32113695,0.20382309,0.217728645,0.0978970975,0.0772650167,19.881443,23.2933636,26.7238197,28454.9727,0.121331528,0.12760374,0.0650480837,0.0680657327,0.2311766,0.365302563,0.0904081687,0.144442365,0.335490167,0.0324489102,0.186862871,0.322053105,0.0518708304
H,0,174,0.934166193,-3.06370401,-5.22500038,-2.34681249,1.08495629,0.826537848,1.08495653,-9.04415512,0.454397053,1.55347288,-0.633773446,0.0236073527,-7.07425785,-3.83225894,-3.34042788,2.0403924,-2.09343505,-1.59147012,-1.80155325,-4.01633549,-2.13770509,-3.73929024,0.148550555,-0.987850428,-2.33415866,0.265716165,-2.3341589,-2.51981544,0.81631285,-0.651797473,0.508183181,1.39861703,-1.45591164,-0.914371014,-3.06981921,0.614003539,-1.64155328,-0.917763472,-0.388171375,0.169677183,2.31477809,-4.22166824,-6.70773888,-2.50608039,2.72091818,1.53921735,2.72091603,-11.9008064,1.58847368,1.45289409,-0.106346913,0.212815106,-6.96027946,-5.66131878,-2.66314316,3.36072016,-1.20230591,-1.94871759,-2.9027946,-2.72817254,1.47706759,1.45087492,1.04813766,5.14371729,-0.723554134,8.06359386,3.90762186,-2.39946127,4.65276957,0.0532176979,2.03038056e-07,3.29545728e-05,0.946647942,0.000101213074,0.91438818,0.0121003157,0.00774197141,0.00891192816,0.0568577126,3,0.984375
H,1,199,0.156994075,-0.715129197,-2.00053406,1.60311103,0.22812058,-0.567697823,0.228120774,-0.663524985,-1.17755771,1.97645748,-0.445792586,-0.982232809,-2.37573552,-0.909193933,-0.169760734,-0.583729148,0.43979007,-1.27377343,-1.29751444,-0.730154932,-0.168259621,-1.06310976,0.277886719,-0.538249314,-0.201464236,-0.395356655,-0.201464429,0.376539409,0.361374348,-0.616017282,1.28177631,-0.513492405,-0.0557773337,0.222094014,-0.0826840103,-0.402454466,0.705353439,-0.942381263,-0.198195621,0.428213149,-0.160001233,-1.46343625,-1.30084956,1.32758653,-0.49693653,-0.617773533,-0.49693802,1.06634712,-0.322383672,2.09042549,0.401972353,0.445571721,-3.48632455,-4.15203667,-2.51697206,-0.638925433,0.279797137,-1.49369907,-2.27253771,-1.06943321,0.40648514,0.209594592,0.353023738,2.06031656,0.145890772,1.38456094,-0.233547747,-0.0857647136,-0.349393606,0.000967081811,0.00274213427,0.00918945391,0.930215001,0.0568863712,0.0128594413,0.0263381917,0.00374509557,0.934644461,0.0224127937,3,0.83984375
H,2,224,0.141239673,-0.39275983,-2.00053406,1.50183094,0.226342037,-0.681241095,0.226342335,0.406342715,-1.41463864,1.98199022,-0.208990857,-1.83309996,-1.25270784,-0.909193933,-0.169760734,-0.696972191,1.5863018,-1.27211583,-1.2433722,-0.261714578,0.164954558,-0.990200877,-0.110121809,-0.238515273,0.152279228,-0.508764923,0.15227893,0.487937659,0.311625957,-0.513487816,1.49480379,-0.964662611,-0.10356269,0.222094014,-0.0826840103,-0.51417321,0.826455772,-0.911471963,-0.487136841,0.389282942,-1.20039821,-1.02922201,1.32952917,1.48732257,-1.24368,-0.899704337,-1.24368131,1.44220662,-1.0221802,1.50524378,0.0982146561,-1.19987118,0.294123292,-1.30117118,-0.470576704,-0.920658648,1.17838347,-0.857535303,-1.35944927,0.815606773,1.20278096,0.0877503753,1.25089347,-0.165841311,0.983259678,-0.520519614,-0.019639032,0.924748838,-0.106327966,0.0113528781,0.0597075112,0.00383426109,0.91927278,0.00583243836,0.00760888821,0.0210739207,0.00207706611,0.955728292,0.0135118859,3,0.98828125
H,3,249,0.243210256,-0.334288001,-1.67808735,1.80567122,0.331307858,-0.653175771,0.331307977,0.406342715,-1.60863268,2.36824942,-1.07186055,-1.69385481,-1.35956323,-0.700403571,-0.169760734,-0.669012129,1.66256249,-1.24169409,-1.35713005,-0.657465577,0.118459754,-0.838255763,-0.110121809,0.0612187833,0.0917414427,-0.530239582,0.0917412415,0.376539409,0.112793267,-0.165651172,1.19576466,-1.09079468,-0.127986923,0.222094014,-0.0826840103,-0.535086393,0.818086982,-0.914275944,-0.470660001,0.389627665,-1.27687883,-0.928253412,1.4756614,1.48732257,-1.29070997,-0.91346705,-1.2907114,1.63013637,-1.06123233,1.29003382,0.289624006,-1.71700823,0.607561946,-0.294983357,-0.470576704,-0.9342857,0.663056135,-0.551372111,-1.34041071,1.16169357,1.18825722,0.169733688,1.29736578,-0.0619072057,1.12895775,-0.462828398,-0.0982670039,0.983532667,-0.164686471,0.0115255583,0.0770225227,0.00396706024,0.901785672,0.00569915352,0.00792277604,0.0255387947,0.00200107857,0.950232744,0.0143045764,3,0.984375
H,4,274,0.28856498,-0.426819831,-1.51686406,0.894150436,0.365080416,-0.651655912,0.365080982,0.228031442,-1.10532689,1.88997114,-0.846360803,-1.39378119,-1.53797662,-0.700403571,-0.169760734,-0.667396247,1.57284653,-1.10463262,-1.28428972,-1.10587704,0.119315788,-0.980408013,-0.110121809,-0.388382316,0.119066775,-0.555388212,0.11906714,-0.403248399,0.220324919,-0.400271803,1.40866446,-0.96194005,-0.0889531225,0.222094014,-0.0826840103,-0.559541047,0.858006895,-1.02529478,-0.369213223,0.453611016,-1.40007997,-1.11587322,0.59886843,1.7269268,-1.42829549,-0.93732059,-1.42829657,1.06634712,-1.40328133,1.72208333,-0.307624191,-1.75292373,0.963498056,-0.294983357,-0.470576704,-0.957931638,0.483488888,-0.436599046,-1.36657977,1.29736984,1.20695722,0.198606074,1.35252607,0.106778115,1.2823056,-0.395952642,0.068811506,1.11052918,-0.0343148708,0.00657224515,0.168951213,0.00194743962,0.818149209,0.00437992997,0.00727759814,0.0351231955,0.00159734802,0.942450762,0.013551062,3,0.9921875
H,5,299,0.30832386,-0.289617866,-1.35564077,0.489030033,0.310110897,-0.66495955,0.310111254,1.1195879,-1.01239645,1.85782695,-0.745513737,-1.59068763,-1.65245533,-0.700403571,-0.169760734,-0.680419087,1.69493997,-1.14402175,-1.38099372,-1.26428258,0.0841786861,-0.915804982,-0.110121809,0.136152297,0.128927663,-0.605538368,0.128927499,-0.626044929,0.1377469,-0.218548939,1.16915298,-0.943623006,-0.110119708,0.222094014,-0.0826840103,-0.608245075,0.847735643,-1.0329777,-0.295591891,0.398495555,-1.3125217,-1.2119031,-0.424056619,1.00811422,-1.36123478,-0.93079716,-1.36123633,0.502557814,-1.17326975,1.54298711,-0.374675006,-0.938600361,0.594937503,-0.798077285,-0.324405611,-0.951403856,0.900359213,-0.713391662,-1.14595544,0.826975465,1.1950233,0.222812936,1.34124899,-0.066367574,1.20910144,-0.462366998,-0.0577091835,1.00681281,-0.131394669,0.00646252045,0.122738361,0.00177229336,0.863689661,0.00533719361,0.00693360344,0.0305039361,0.00156234985,0.947198927,0.0138011537,3,0.98828125
H,6,324,0.298248351,-0.296149284,-0.71074754,0.489030033,0.251923472,-0.701356709,0.25192377,0.94127661,-0.569033027,1.40165329,-0.685693741,-1.04069412,-1.68105376,-0.700403571,-0.169760734,-0.716763496,1.65364504,-1.19823158,-1.15946746,-1.4294529,0.0912266001,-0.844160616,-0.110121809,0.0612187833,0.157818735,-0.671543717,0.157818496,-0.626044929,0.0106286779,-0.0655487254,0.778514922,-0.4894104,-0.0512734205,0.222094014,-0.0826840103,-0.672510386,0.830226362,-1.09760642,-0.163343906,0.47169593,-1.31362617,-1.14344001,0.745000601,1.16785038,-1.38673437,-0.94320631,-1.38673556,0.878417373,-1.12345183,1.73579133,0.0229935236,-1.50957298,0.293174654,-1.30117118,-0.470576704,-0.96376425,1.1170125,-0.699969471,-1.36790633,0.67227608,1.02981663,0.214061573,1.16344941,0.00665651355,1.20319164,-0.423919201,-0.213226497,1.0105828,-0.250295371,0.00644407934,0.244875625,0.0014086006,0.737067819,0.0102039175,0.0073959888,0.0745955035,0.00145789981,0.897549033,0.0190015957,3,0.9765625
H,7,349,0.226717353,-0.0837131888,-0.549524248,0.69159025,0.190713972,-0.744557798,0.190714166,1.29789913,-0.63002187,1.31508553,-1.13722312,-0.44849667,-1.32452393,-0.700403571,-0.169760734,-0.759841681,1.50742018,-1.19330096,-0.855485618,-1.36150074,0.115309305,-0.456033468,-0.110121809,0.360952854,0.101421624,-0.714081645,0.101421781,-0.29185015,-0.0872445852,0.0259964671,0.674358189,-0.780578315,0.0514037721,0.411504865,0.130682796,-0.713811159,0.62949419,-0.809435785,-0.286979377,0.441044092,-1.22268426,-0.770566046,1.03726494,0.848378122,-1.33216262,-0.939281046,-1.33216393,0.502557814,-1.35026586,1.65414751,-0.310687929,-1.2402606,0.880084276,0.0404125936,-0.470576704,-0.959849536,0.757118285,-0.715045452,-1.10845268,1.02497172,1.02215052,0.160092577,1.11194682,-0.356662691,1.06537032,-0.617906749,-0.364150167,0.928227961,-0.37709111,0.00768675888,0.242320374,0.00301865581,0.729834795,0.0171394106,0.00920972042,0.0863018185,0.00217869761,0.877862871,0.0244469736,3,0.9765625
H,8,374,0.0273540746,-0.261729687,-0.71074754,0.489030033,-0.0302057043,-0.835534692,-0.0302053466,1.29789913,-0.494845867,1.08110678,-1.58798671,0.240703166,-1.04674518,-0.700403571,-0.169760734,-0.85007447,1.28094137,-1.03461027,-0.597694755,-1.4007076,0.0897058845,-0.524850309,-0.368794173,0.510819852,0.00868539233,-0.813536525,0.0086846156,-0.29185015,-0.153159916,0.294242829,-0.170353636,-0.133992076,0.0495371409,0.411504865,-0.0826840103,-0.809320092,0.715182126,-0.952798963,-0.186461031,0.441636592,-0.680909693,-0.412402958,0.0143398419,0.44903785,-0.777608156,-0.879203796,-0.777609348,0.878417373,-0.565586627,0.886710763,-0.745481908,-0.277553797,-0.0193814002,-0.294983357,-0.470576704,-0.900419056,0.70966804,-0.433715254,-0.321847081,0.0939072818,1.14171374,0.0360488892,1.07326496,-0.126372039,0.446108967,-0.395627648,-0.341526508,0.423831105,-0.417147726,0.0109892804,0.100744061,0.00488992222,0.791786432,0.09159033,0.0183816198,0.0704654977,0.0045085256,0.844886899,0.0617575161,3,0.88671875
H,9,399,0.0451180115,-0.0241421107,-0.388300896,0.489030033,0.0104610566,-0.871930122,0.0104613714,0.94127661,-0.758639634,0.95091635,-0.662485659,-0.192777872,-0.554049134,-0.700403571,-0.169760734,-0.886340857,1.14021802,-1.04025757,-0.577190042,-0.30296734,0.046423126,-0.318615019,-0.110121809,0.735620439,-0.0914448649,-0.916769028,-0.0914451256,-0.180451885,-0.198496819,0.348297209,-0.504534662,0.211000532,0.117342882,0.411504865,-0.0826840103,-0.910256863,0.618063152,-0.86220485,-0.111814782,0.483587235,-0.578127086,-0.171063825,-0.424056619,0.768510103,-0.672353029,-0.889004469,-0.672354579,0.878417373,-0.662256896,1.02256656,-0.316030264,-0.815245211,0.0175601486,-0.630379319,-0.470576704,-0.910129488,0.983023345,-0.680388927,-0.45733273,0.239804864,1.22263861,0.0624687523,1.14994168,-0.43792811,0.377094388,-0.569634974,-0.423171908,0.321969151,-0.503226638,0.0104906568,0.0687572286,0.0051376503,0.798937738,0.116676763,0.0156278759,0.0422592647,0.00444408786,0.88735795,0.0503108911,3,0.86328125
